"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01044099999","2010-07-29T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0026,1","99999,9,C,N","011265,1,N,1","+0140,1","+0110,1","99999,9","02,5,+00300,1,99,9","04,5,+02100,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET066METAR ENHK 291320Z 29005KT 250V320 9999 FEW010 SCT070 14/11 Q1017;","P01 021003SCOCIG"
"01044099999","2010-07-29T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0036,1","99999,9,C,N","011265,1,N,1","+0130,1","+0100,1","99999,9","02,5,+00300,1,99,9","04,5,+04500,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET058METAR ENHK 291350Z 29007KT 9999 FEW010 SCT150 13/10 Q1017;","P01 045003SCOCIG"
"01044099999","2010-07-29T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","280,1,N,0036,1","22000,1,9,N","011265,1,N,1","+0130,1","+0100,1","99999,9","02,5,+00300,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR ENHK 291420Z 28007KT 9999 FEW010 13/10 Q1017;",
"01044099999","2010-07-30T03:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0072,1","01500,1,C,N","011265,1,N,1","+0150,1","+0110,1","99999,9","02,5,+00720,1,99,9","04,5,+01650,5,99,9","07,5,+02250,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10129,1,99999,9",,,,,"MET065METAR ENHK 300320Z 10014KT 9999 FEW024 SCT055 BKN075 15/11 Q1013;",
"01044099999","2010-07-30T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0072,1","99999,9,9,Y","009900,1,N,1","+0140,1","+0100,1","99999,9",,,,,,,"10129,1,99999,9",,,,,"MET045METAR ENHK 300350Z 11014KT CAVOK 14/10 Q1013;",
"01044099999","2010-07-30T04:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0077,1","01500,1,C,N","011265,1,N,1","+0150,1","+0110,1","99999,9","02,5,+00750,1,99,9","04,5,+01650,5,99,9","07,5,+02550,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10129,1,99999,9",,,,,"MET065METAR ENHK 300420Z 11015KT 9999 FEW025 SCT055 BKN085 15/11 Q1013;",
"01044099999","2010-07-30T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0082,1","01800,1,C,N","011265,1,N,1","+0150,1","+0110,1","99999,9","02,5,+00750,1,99,9","04,5,+01860,5,99,9","07,5,+02550,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10119,1,99999,9",,,,,"MET065METAR ENHK 300450Z 11016KT 9999 FEW025 SCT062 BKN085 15/11 Q1012;",
"01044099999","2010-07-30T05:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0087,1","01800,1,C,N","011265,1,N,1","+0150,1","+0100,1","99999,9","02,5,+00750,1,99,9","04,5,+01890,5,99,9","07,5,+02850,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10119,1,99999,9",,,,,"MET065METAR ENHK 300520Z 11017KT 9999 FEW025 SCT063 BKN095 15/10 Q1012;",
"01044099999","2010-07-30T05:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0087,1","01500,1,C,N","011265,1,N,1","+0150,1","+0110,1","99999,9","02,5,+00930,1,99,9","04,5,+01680,5,99,9","07,5,+02550,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10119,1,99999,9",,,,,"MET065METAR ENHK 300550Z 10017KT 9999 FEW031 SCT056 BKN085 15/11 Q1012;",
"01044099999","2010-07-30T08:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0072,1","01800,1,C,N","011265,1,N,1","+0160,1","+0110,1","99999,9","02,5,+01320,1,99,9","04,5,+01890,5,99,9","07,5,+02700,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9",,,,,"MET065METAR ENHK 300820Z 10014KT 9999 FEW044 SCT063 BKN090 16/11 Q1011;",
