"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","OD1","OD2","REM","EQD"
"01044099999","2021-01-02T21:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","165,1,N,0034,1","99999,9,9,9","999999,9,9,9","+0005,1","-0049,1","10200,1",,,,,,"010,M,+0005,1","010,N,-0017,1","99999,9,10191,1","2,1,012,1,+999,9",,,,"0054,1","4,01,0054,1,170","9,99,0034,1,999","SYN004BUFR",
"01044099999","2021-01-02T22:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","155,1,N,0045,1","99999,9,9,9","999999,9,9,9","+0005,1","-0047,1","10203,1",,,,,,"010,M,+0006,1","010,N,+0004,1","99999,9,10194,1","2,1,011,1,+999,9",,,,"0063,1","4,01,0063,1,173","9,99,0045,1,999","SYN004BUFR",
"01044099999","2021-01-03T02:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","105,1,N,0026,1","99999,9,9,9","999999,9,9,9","-0002,1","-0002,1","10213,1",,,,,,"010,M,-0002,1","010,N,-0004,1","99999,9,10204,1","2,1,006,1,+999,9",,,,,"4,01,0044,1,082","9,99,0032,1,999","SYN004BUFR",
"01044099999","2021-01-03T03:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","089,1,N,0027,1","99999,9,9,9","999999,9,9,9","+0002,1","+0002,1","10213,1",,,,,,"010,M,+0003,1","010,N,-0002,1","99999,9,10204,1","1,1,006,1,+999,9",,,,"0052,1","4,01,0052,1,102","9,99,0047,1,999","SYN004BUFR",
"01044099999","2021-01-03T09:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","333,1,N,0033,1","99999,9,9,9","999999,9,9,9","+0030,1","+0004,1","10242,1",,,,,,"010,M,+0033,1","010,N,+0027,1","99999,9,10233,1","3,1,020,1,+999,9",,,,"0095,1","4,01,0095,1,239","9,99,0080,1,999","SYN004BUFR",
"01044099999","2021-01-03T11:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","270,1,N,0008,1","99999,9,9,9","999999,9,9,9","+0017,1","-0001,1","10253,1",,,,,,"010,M,+0023,1","010,N,+0017,1","99999,9,10245,1","2,1,018,1,+999,9",,,,,"4,01,0031,1,273","9,99,0044,1,999","SYN004BUFR",
"01044099999","2021-01-03T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","270,1,N,0057,1","00732,1,C,N","009999,1,9,9","+0030,1","+0000,1","99999,9","02,1,+00366,1,99,9","04,1,+00732,1,99,9","07,1,+00914,1,99,9","9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9",,,"10250,1,99999,9",,,,,,,,"MET065METAR ENHK 031320Z 27011KT 9999 FEW012 SCT024 BKN030 03/00 Q1025=",
"01044099999","2021-01-03T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","250,1,N,0041,1","00823,1,C,N","009999,1,9,9","+0020,1","+0000,1","99999,9","02,1,+00457,1,99,9","04,1,+00823,1,99,9","07,1,+01067,1,99,9","9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10260,1,99999,9",,"80,1",,,,,,"MET071METAR ENHK 031350Z 25008KT 9999 -SHRA FEW015 SCT027 BKN035 02/00 Q1026=",
"01044099999","2021-01-03T15:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","247,1,N,0057,1","99999,9,9,9","999999,9,9,9","+0020,1","+0000,1","10265,1",,,,,,"010,M,+0027,1","010,N,+0015,1","99999,9,10256,1","2,1,006,1,+999,9",,,,"0105,1","4,01,0105,1,259","9,99,0080,1,999","SYN004BUFR",
"01044099999","2021-01-03T18:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","230,1,V,0021,1","01219,1,9,N","009999,1,9,9","+0040,1","-0010,1","99999,9","04,1,+00853,1,99,9","07,1,+01219,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00853,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET067METAR ENHK 031820Z 23004KT 200V280 9999 SCT028 BKN040 04/M01 Q1026=",
