{'01044099999': -10.0, '02293099999': -27.6}
         395640 function calls (390840 primitive calls) in 6.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  144/141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
     2342    0.001    0.000    0.001    0.000 response.py:274(__len__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:292(connection_from_host)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:321(connection_from_context)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     8601    0.001    0.000    0.001    0.000 _parser.py:239(__next)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
        2    0.000    0.000    0.001    0.000 weakref.py:585(__call__)
     1195    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
  950/171    0.001    0.000    0.001    0.000 _parser.py:177(getwidth)
      145    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      134    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
        2    0.000    0.000    0.001    0.000 connectionpool.py:1170(_close_pool_connections)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:346(connection_from_pool_key)
        2    0.000    0.000    0.001    0.000 utils.py:207(get_netrc_auth)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.001    0.000 socket.py:497(_real_close)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {function socket.close at 0x105646660}
        2    0.000    0.000    0.001    0.000 poolmanager.py:245(_new_pool)
        2    0.000    0.000    0.001    0.000 connectionpool.py:980(__init__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        2    0.000    0.000    0.001    0.000 connectionpool.py:175(__init__)
    25/21    0.000    0.000    0.001    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       24    0.000    0.000    0.001    0.000 queue.py:180(get)
     4135    0.000    0.000    0.001    0.000 _parser.py:255(match)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
       21    0.000    0.000    0.000    0.000 typing.py:753(Union)
        2    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       12    0.000    0.000    0.000    0.000 structures.py:40(__init__)
2749/2681    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 certs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       41    0.000    0.000    0.000    0.000 typing.py:1423(__init__)
        2    0.000    0.000    0.000    0.000 glob.py:1(<module>)
     4896    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 request.py:2687(getproxies)
        2    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.000    0.000 client.py:1322(endheaders)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        2    0.000    0.000    0.000    0.000 client.py:1084(_send_output)
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
        4    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        2    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
     2254    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
      192    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       10    0.000    0.000    0.000    0.000 connection.py:404(putheader)
       28    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
      137    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
      992    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
        2    0.000    0.000    0.000    0.000 client.py:1029(send)
      162    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        2    0.000    0.000    0.000    0.000 connection.py:384(putrequest)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       95    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
      486    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
        2    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      424    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        4    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2392(_IPv6Constants)
       51    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
        2    0.000    0.000    0.000    0.000 client.py:1138(putrequest)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
     1267    0.000    0.000    0.000    0.000 _parser.py:175(append)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
     1912    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1446    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       20    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        8    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
     3477    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 message.py:600(get_content_type)
       16    0.000    0.000    0.000    0.000 message.py:498(get)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        2    0.000    0.000    0.000    0.000 ssl.py:1225(send)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
        2    0.000    0.000    0.000    0.000 request.py:2664(getproxies_macosx_sysconf)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       10    0.000    0.000    0.000    0.000 client.py:1294(putheader)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.000    0.000 _internal_utils.py:1(<module>)
      484    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
       22    0.000    0.000    0.000    0.000 queue.py:140(put)
      162    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
       14    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
      429    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 request.py:2569(_proxy_bypass_macosx_sysconf)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       14    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1681(extract_cookies)
       74    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        2    0.000    0.000    0.000    0.000 connectionpool.py:256(_get_conn)
      274    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:126(EntryPoint)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 models.py:610(prepare_cookies)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        6    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 request.py:910(AbstractBasicAuthHandler)
        2    0.000    0.000    0.000    0.000 cookies.py:140(get_cookie_header)
     1365    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1421    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       45    0.000    0.000    0.000    0.000 threading.py:398(notify)
      331    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
        2    0.000    0.000    0.000    0.000 sessions.py:454(__exit__)
        6    0.000    0.000    0.000    0.000 message.py:624(get_content_maintype)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1247(CookieJar)
