{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
  943/168    0.002    0.000    0.003    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.003    0.003 idna.py:1(<module>)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
        4    0.000    0.000    0.002    0.001 ssl.py:399(__new__)
        4    0.002    0.001    0.002    0.001 {built-in method _ssl.txt2obj}
       16    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
      142    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      167    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      213    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4122    0.001    0.000    0.002    0.000 _parser.py:255(match)
2666/2598    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      194    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      137    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      213    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    25/21    0.000    0.000    0.002    0.000 typing.py:574(__getitem__)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      213    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       21    0.000    0.000    0.002    0.000 typing.py:753(Union)
       51    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
     4824    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      992    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       51    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      167    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
     1463    0.000    0.000    0.001    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2392(_IPv6Constants)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
     2245    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
